"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\alert-dialog.tsx", "TypeScript JSX", 169, 0, 0, 0, 16, 185
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\avatar.tsx", "TypeScript JSX", 100, 0, 0, 0, 10, 110
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\badge.tsx", "TypeScript JSX", 40, 0, 0, 0, 6, 46
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\breadcrumb.tsx", "TypeScript JSX", 42, 0, 0, 0, 4, 46
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\button.tsx", "TypeScript JSX", 60, 0, 0, 0, 6, 66
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\card.tsx", "TypeScript JSX", 85, 0, 0, 0, 10, 95
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\checkbox.tsx", "TypeScript JSX", 29, 0, 0, 0, 5, 34
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\collapsible.tsx", "TypeScript JSX", 28, 0, 0, 0, 6, 34
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\combobox.tsx", "TypeScript JSX", 274, 0, 0, 0, 21, 295
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\container.tsx", "TypeScript JSX", 257, 0, 0, 72, 38, 367
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\content-lockup.tsx", "TypeScript JSX", 207, 0, 0, 1, 16, 224
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\crease.tsx", "TypeScript JSX", 138, 0, 0, 18, 20, 176
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\dialog.tsx", "TypeScript JSX", 142, 0, 0, 0, 14, 156
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\dropdown-menu.tsx", "TypeScript JSX", 237, 0, 0, 0, 19, 256
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\eyebrow.tsx", "TypeScript JSX", 53, 0, 0, 0, 5, 58
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\field.tsx", "TypeScript JSX", 207, 0, 0, 0, 21, 228
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\fire-icon.tsx", "TypeScript JSX", 30, 0, 0, 0, 3, 33
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\grid.tsx", "TypeScript JSX", 330, 0, 0, 21, 41, 392
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\image-placeholder.tsx", "TypeScript JSX", 23, 0, 0, 0, 2, 25
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\input-group.tsx", "TypeScript JSX", 136, 0, 0, 0, 12, 148
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\input.tsx", "TypeScript JSX", 16, 0, 0, 0, 4, 20
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\kbd.tsx", "TypeScript JSX", 23, 0, 0, 0, 4, 27
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\label.tsx", "TypeScript JSX", 20, 0, 0, 0, 5, 25
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\link.tsx", "TypeScript JSX", 28, 0, 0, 0, 3, 31
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\logo.tsx", "TypeScript JSX", 25, 0, 0, 2, 3, 30
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\marquee.tsx", "TypeScript JSX", 102, 0, 0, 1, 3, 106
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\navigation-menu.tsx", "TypeScript JSX", 156, 0, 0, 0, 12, 168
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\pagination.tsx", "TypeScript JSX", 124, 0, 0, 0, 11, 135
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\scroll-area.tsx", "TypeScript JSX", 50, 0, 0, 0, 6, 56
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\scroll-progress.tsx", "TypeScript JSX", 61, 0, 0, 3, 17, 81
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\section.tsx", "TypeScript JSX", 168, 0, 0, 9, 14, 191
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\select.tsx", "TypeScript JSX", 182, 0, 0, 0, 14, 196
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\separator.tsx", "TypeScript JSX", 24, 0, 0, 0, 5, 29
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\sheet.tsx", "TypeScript JSX", 121, 0, 0, 0, 14, 135
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\sidebar.tsx", "TypeScript JSX", 641, 0, 0, 10, 55, 706
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\skeleton.tsx", "TypeScript JSX", 11, 0, 0, 0, 3, 14
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\social-icon.tsx", "TypeScript JSX", 37, 0, 0, 0, 4, 41
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\stack.tsx", "TypeScript JSX", 308, 0, 0, 17, 32, 357
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\switch.tsx", "TypeScript JSX", 29, 0, 0, 0, 5, 34
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\tabs.tsx", "TypeScript JSX", 82, 0, 0, 0, 9, 91
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\textarea.tsx", "TypeScript JSX", 15, 0, 0, 0, 4, 19
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\tooltip.tsx", "TypeScript JSX", 50, 0, 0, 0, 8, 58
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\trust-badge.tsx", "TypeScript JSX", 38, 0, 0, 0, 5, 43
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\ui\typography.tsx", "TypeScript JSX", 237, 0, 0, 14, 16, 267
"Total", "-", 10628, 238, -249, 769, 1183, 12569
